country,country_code,year,item,item_code,origin,Disponibilité intérieure,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de matière grasse en quantité (g/personne/jour)
Arménie,1,2013,Blé,2511,vegetal,554.0,1024.0,3.6,3.6
Arménie,1,2013,Orge,2513,vegetal,198.0,0.0,0.0,0.0
Arménie,1,2013,Maïs,2514,vegetal,102.0,0.0,,
Arménie,1,2013,Seigle,2515,vegetal,1.0,1.0,0.0,0.0
Arménie,1,2013,Avoine,2516,vegetal,6.0,2.0,0.03,0.03
Arménie,1,2013,Millet,2517,vegetal,0.0,,,
Arménie,1,2013,Sorgho,2518,vegetal,0.0,,,
Arménie,1,2013,"Céréales, Autres",2520,vegetal,21.0,14.0,0.04,0.04
Arménie,1,2013,Pommes de Terre,2531,vegetal,672.0,82.0,0.12,0.12
Arménie,1,2013,Manioc,2532,vegetal,0.0,,,
Arménie,1,2013,"Racines, Nda",2534,vegetal,0.0,,,
Arménie,1,2013,"Sucre, betterave",2537,vegetal,55.0,,,
Arménie,1,2013,Sucre Eq Brut,2542,vegetal,93.0,302.0,,
Arménie,1,2013,Edulcorants Autres,2543,vegetal,5.0,18.0,,
Arménie,1,2013,Haricots,2546,vegetal,5.0,,,
Arménie,1,2013,Pois,2547,vegetal,2.0,,,
Arménie,1,2013,Légumineuses Autres,2549,vegetal,3.0,0.0,,
Arménie,1,2013,Noix,2551,vegetal,6.0,18.0,1.76,1.76
Arménie,1,2013,Soja,2555,vegetal,0.0,0.0,,
Arménie,1,2013,Arachides Decortiquees,2556,vegetal,1.0,6.0,0.55,0.55
Arménie,1,2013,Graines de tournesol,2557,vegetal,2.0,,,
Arménie,1,2013,Graines Colza/Moutarde,2558,vegetal,0.0,0.0,0.0,0.0
Arménie,1,2013,Coco (Incl Coprah),2560,vegetal,0.0,0.0,0.03,0.03
Arménie,1,2013,Sésame,2561,vegetal,0.0,0.0,0.01,0.01
Arménie,1,2013,Olives,2563,vegetal,3.0,3.0,0.28,0.28
Arménie,1,2013,"Plantes Oleiferes, Autre",2570,vegetal,1.0,0.0,,
Arménie,1,2013,Huile de Soja,2571,vegetal,1.0,4.0,0.5,0.5
Arménie,1,2013,Huile d'Arachide,2572,vegetal,0.0,0.0,0.0,0.0
Arménie,1,2013,Huile de Tournesol,2573,vegetal,30.0,216.0,24.38,24.38
Arménie,1,2013,Huile de Colza&Moutarde,2574,vegetal,0.0,0.0,0.0,0.0
Arménie,1,2013,Huile Graines de Coton,2575,vegetal,0.0,0.0,0.0,0.0
Arménie,1,2013,Huile de Palmistes,2576,vegetal,0.0,0.0,0.02,0.02
Arménie,1,2013,Huile de Palme,2577,vegetal,1.0,,,
Arménie,1,2013,Huile de Coco,2578,vegetal,1.0,7.0,0.81,0.81
Arménie,1,2013,Huile de Sésame,2579,vegetal,0.0,0.0,0.0,0.0
Arménie,1,2013,Huile d'Olive,2580,vegetal,0.0,1.0,0.09,0.09
Arménie,1,2013,Huile de Germe de Maïs,2582,vegetal,0.0,3.0,0.39,0.39
Arménie,1,2013,Huil Plantes Oleif Autr,2586,vegetal,2.0,0.0,0.02,0.02
Arménie,1,2013,Tomates,2601,vegetal,273.0,41.0,0.48,0.48
Arménie,1,2013,Oignons,2602,vegetal,53.0,15.0,0.1,0.1
Arménie,1,2013,"Légumes, Autres",2605,vegetal,764.0,143.0,1.18,1.18
Arménie,1,2013,"Oranges, Mandarines",2611,vegetal,14.0,4.0,0.01,0.01
Arménie,1,2013,Citrons & Limes,2612,vegetal,1.0,0.0,0.0,0.0
Arménie,1,2013,Pamplemousse,2613,vegetal,2.0,0.0,0.0,0.0
Arménie,1,2013,"Agrumes, Autres",2614,vegetal,1.0,0.0,0.0,0.0
Arménie,1,2013,Bananes,2615,vegetal,2.0,1.0,0.01,0.01
Arménie,1,2013,Bananes plantains,2616,vegetal,8.0,5.0,0.02,0.02
Arménie,1,2013,Pommes,2617,vegetal,107.0,33.0,0.2,0.2
Arménie,1,2013,Ananas,2618,vegetal,0.0,0.0,,
Arménie,1,2013,Dattes,2619,vegetal,0.0,1.0,0.0,0.0
Arménie,1,2013,Raisin,2620,vegetal,235.0,20.0,0.13,0.13
Arménie,1,2013,"Fruits, Autres",2625,vegetal,206.0,76.0,0.64,0.64
Arménie,1,2013,Café,2630,vegetal,12.0,5.0,,
Arménie,1,2013,Feve de Cacao,2633,vegetal,7.0,37.0,3.42,3.42
Arménie,1,2013,Thé,2635,vegetal,0.0,0.0,,
Arménie,1,2013,Poivre,2640,vegetal,0.0,0.0,0.0,0.0
Arménie,1,2013,Piments,2641,vegetal,0.0,0.0,0.01,0.01
Arménie,1,2013,Girofles,2642,vegetal,0.0,,,
Arménie,1,2013,"Épices, Autres",2645,vegetal,0.0,0.0,0.01,0.01
Arménie,1,2013,Vin,2655,vegetal,4.0,3.0,,
Arménie,1,2013,Bière,2656,vegetal,19.0,9.0,,
Arménie,1,2013,Boissons Fermentés,2657,vegetal,0.0,0.0,,
Arménie,1,2013,Boissons Alcooliques,2658,vegetal,1.0,1.0,,
Arménie,1,2013,"Alcool, non Comestible",2659,vegetal,0.0,,,
Arménie,1,2013,Aliments pour enfants,2680,vegetal,0.0,2.0,0.01,0.01
Arménie,1,2013,Viande de Bovins,2731,animal,61.0,114.0,8.88,8.88
Arménie,1,2013,Viande d'Ovins/Caprins,2732,animal,9.0,22.0,1.89,1.89
Arménie,1,2013,Viande de Suides,2733,animal,31.0,72.0,6.72,6.72
Arménie,1,2013,Viande de Volailles,2734,animal,40.0,45.0,2.82,2.82
Arménie,1,2013,"Viande, Autre",2735,animal,0.0,0.0,0.0,0.0
Arménie,1,2013,Abats Comestible,2736,animal,17.0,14.0,0.39,0.39
Arménie,1,2013,Graisses Animales Crue,2737,animal,11.0,78.0,8.63,8.63
Arménie,1,2013,"Beurre, Ghee",2740,animal,5.0,35.0,3.9,3.9
Arménie,1,2013,Crème,2743,animal,0.0,0.0,0.01,0.01
Arménie,1,2013,Oeufs,2744,animal,35.0,45.0,3.15,3.15
Arménie,1,2013,Miel,2745,vegetal,2.0,6.0,,
Arménie,1,2013,Poissons Eau Douce,2761,animal,10.0,6.0,0.22,0.22
Arménie,1,2013,Perciform,2762,animal,0.0,0.0,0.02,0.02
Arménie,1,2013,Poissons Pelagiques,2763,animal,11.0,2.0,0.1,0.1
Arménie,1,2013,"Poissons Marins, Autres",2764,animal,1.0,0.0,0.01,0.01
Arménie,1,2013,Crustacés,2765,animal,0.0,0.0,0.0,0.0
Arménie,1,2013,Cephalopodes,2766,animal,0.0,0.0,0.0,0.0
Arménie,1,2013,"Mollusques, Autres",2767,animal,0.0,0.0,0.0,0.0
Arménie,1,2013,Animaux Aquatiques Autre,2769,animal,0.0,0.0,0.0,0.0
Arménie,1,2013,Plantes Aquatiques,2775,animal,0.0,0.0,0.0,0.0
Arménie,1,2013,Huiles de Poissons,2781,animal,0.0,0.0,0.0,0.0
Arménie,1,2013,Huiles de Foie de Poisso,2782,animal,0.0,0.0,0.0,0.0
Arménie,1,2013,Riz (Eq Blanchi),2805,vegetal,10.0,34.0,0.11,0.11
Arménie,1,2013,Lait - Excl Beurre,2848,animal,671.0,351.0,20.89,20.89
Arménie,1,2013,Miscellanees,2899,vegetal,,3.0,0.04,0.04
Afghanistan,2,2013,Blé,2511,vegetal,5992.0,1369.0,4.69,4.69
Afghanistan,2,2013,Orge,2513,vegetal,524.0,26.0,0.24,0.24
Afghanistan,2,2013,Maïs,2514,vegetal,313.0,21.0,0.3,0.3
Afghanistan,2,2013,Millet,2517,vegetal,13.0,3.0,0.02,0.02
Afghanistan,2,2013,"Céréales, Autres",2520,vegetal,0.0,0.0,0.0,0.0
Afghanistan,2,2013,Pommes de Terre,2531,vegetal,262.0,15.0,0.04,0.04
Afghanistan,2,2013,"Sucre, canne",2536,vegetal,90.0,,,
Afghanistan,2,2013,"Sucre, betterave",2537,vegetal,15.0,,,
Afghanistan,2,2013,Sucre Eq Brut,2542,vegetal,255.0,84.0,,
Afghanistan,2,2013,Edulcorants Autres,2543,vegetal,16.0,2.0,,
Afghanistan,2,2013,Légumineuses Autres,2549,vegetal,86.0,23.0,0.14,0.14
Afghanistan,2,2013,Noix,2551,vegetal,44.0,12.0,1.07,1.07
Afghanistan,2,2013,Graines de tournesol,2557,vegetal,3.0,,,
Afghanistan,2,2013,Graines de coton,2559,vegetal,27.0,,,
Afghanistan,2,2013,Coco (Incl Coprah),2560,vegetal,0.0,0.0,0.0,0.0
Afghanistan,2,2013,Sésame,2561,vegetal,21.0,9.0,0.77,0.77
Afghanistan,2,2013,Olives,2563,vegetal,7.0,0.0,0.03,0.03
Afghanistan,2,2013,"Plantes Oleiferes, Autre",2570,vegetal,3.0,,,
Afghanistan,2,2013,Huile de Soja,2571,vegetal,16.0,13.0,1.46,1.46
Afghanistan,2,2013,Huile d'Arachide,2572,vegetal,0.0,0.0,0.0,0.0
Afghanistan,2,2013,Huile de Tournesol,2573,vegetal,23.0,18.0,2.06,2.06
Afghanistan,2,2013,Huile de Colza&Moutarde,2574,vegetal,2.0,2.0,0.18,0.18
Afghanistan,2,2013,Huile Graines de Coton,2575,vegetal,5.0,3.0,0.34,0.34
Afghanistan,2,2013,Huile de Palme,2577,vegetal,119.0,51.0,5.74,5.74
Afghanistan,2,2013,Huile de Sésame,2579,vegetal,1.0,1.0,0.13,0.13
Afghanistan,2,2013,Huile d'Olive,2580,vegetal,1.0,0.0,0.05,0.05
Afghanistan,2,2013,Huil Plantes Oleif Autr,2586,vegetal,361.0,2.0,0.21,0.21
Afghanistan,2,2013,Tomates,2601,vegetal,0.0,0.0,0.0,0.0
Afghanistan,2,2013,"Légumes, Autres",2605,vegetal,1007.0,17.0,0.13,0.13
Afghanistan,2,2013,"Oranges, Mandarines",2611,vegetal,145.0,4.0,0.01,0.01
Afghanistan,2,2013,"Agrumes, Autres",2614,vegetal,41.0,1.0,0.01,0.01
Afghanistan,2,2013,Bananes,2615,vegetal,82.0,4.0,0.02,0.02
Afghanistan,2,2013,Pommes,2617,vegetal,72.0,3.0,0.01,0.01
Afghanistan,2,2013,Ananas,2618,vegetal,0.0,0.0,,
Afghanistan,2,2013,Dattes,2619,vegetal,1.0,0.0,0.0,0.0
